age,nationality,marital_status,education_level,destination_country,visa_type,duration_of_stay,monthly_income_usd,bank_balance_usd,prev_countries_visited,prev_visa_rejections,has_return_ticket,has_criminal_record,visa_approved
55,Chinese,Divorced,High School,France,Work,70,3522,49347,6,0,1,0,1
60,American,Single,Masters,Canada,Tourist,205,11936,120685,8,3,0,0,0
40,American,Divorced,Bachelors,USA,Tourist,223,620,162234,6,4,0,0,0
40,British,Married,Bachelors,USA,Student,130,14763,28141,8,5,1,0,0
36,British,Divorced,Masters,Germany,Tourist,228,11677,198598,8,2,1,0,1
29,Indian,Single,Masters,Canada,Student,312,12615,40157,4,2,0,0,0
59,Australian,Single,Bachelors,France,Tourist,350,14071,163565,2,1,0,0,1
35,Indian,Single,Bachelors,Germany,Tourist,256,3018,47682,18,5,0,0,0
48,Nigerian,Single,High School,Australia,Work,314,13418,71964,2,1,1,0,0
53,Canadian,Divorced,PhD,UK,Tourist,316,6222,23799,4,0,1,0,1
61,Nigerian,Single,High School,Canada,Work,94,13476,65904,12,1,0,0,1
26,Australian,Married,Bachelors,USA,Student,342,14317,109724,5,1,0,0,1
42,Australian,Divorced,PhD,Australia,Tourist,104,2774,143308,20,2,1,0,1
40,German,Married,Masters,Canada,Student,350,2749,18173,16,0,0,0,1
23,Australian,Married,High School,France,Tourist,115,14653,84591,10,5,1,0,0
52,German,Married,Bachelors,Australia,Student,291,11275,85463,4,0,0,0,1
61,Australian,Divorced,Masters,Germany,Tourist,63,4890,104638,19,1,1,0,1
26,Canadian,Divorced,Masters,Australia,Student,51,2727,132245,4,0,1,0,1
46,Canadian,Single,Bachelors,Germany,Student,44,2771,53085,2,0,1,0,1
41,Canadian,Divorced,Bachelors,USA,Tourist,361,10074,109298,4,4,0,0,0
58,Indian,Married,PhD,Canada,Work,323,4195,87537,0,4,1,0,0
27,German,Single,High School,UK,Tourist,314,10342,87925,10,4,1,0,0
69,Australian,Married,High School,France,Work,48,13243,126725,3,2,1,0,1
61,Nigerian,Single,PhD,Germany,Tourist,233,7990,71630,18,3,0,0,0
55,Canadian,Divorced,High School,UK,Student,237,5935,90411,9,5,1,0,0
38,Nigerian,Divorced,Bachelors,USA,Work,159,8484,32105,10,5,1,0,0
62,Indian,Divorced,High School,UK,Student,20,14670,32442,15,4,1,0,0
37,Canadian,Married,PhD,UK,Work,205,737,171499,19,3,0,0,0
55,German,Married,PhD,France,Tourist,253,12997,159920,18,0,1,1,1
34,Australian,Single,PhD,UK,Tourist,204,12073,91836,17,4,1,0,0
64,Chinese,Divorced,Masters,USA,Work,13,5732,80474,11,0,0,0,1
41,German,Single,PhD,Australia,Student,107,10133,97106,14,3,0,0,1
24,Australian,Divorced,High School,USA,Student,127,4791,15366,9,1,0,0,0
61,Canadian,Single,Bachelors,Germany,Student,14,1655,163252,2,2,1,1,0
19,Canadian,Single,Bachelors,UK,Student,249,12439,88602,19,3,0,0,0
65,Australian,Single,PhD,Australia,Student,355,13321,171986,7,2,1,0,1
34,Indian,Divorced,High School,Germany,Tourist,152,12133,14927,1,0,1,0,1
59,Indian,Single,High School,Canada,Tourist,130,2313,9952,19,4,0,0,0
62,Indian,Single,PhD,Canada,Tourist,248,6983,93667,4,2,0,0,0
49,Canadian,Single,High School,Australia,Work,284,8938,175380,16,1,1,0,1
53,German,Single,Masters,Canada,Work,216,3726,12084,14,0,1,0,1
24,Chinese,Divorced,High School,USA,Tourist,237,809,129667,5,4,0,0,0
62,American,Married,PhD,USA,Tourist,67,14261,179545,11,3,1,0,0
57,Indian,Divorced,High School,UK,Work,319,9910,32399,13,0,1,0,1
67,British,Married,Bachelors,France,Student,180,11483,61640,9,1,0,0,1
41,Canadian,Married,Bachelors,Australia,Student,229,5628,186962,15,5,0,0,0
42,American,Married,PhD,USA,Work,121,11840,32167,3,1,1,0,0
42,Indian,Married,Masters,Canada,Tourist,204,3551,58596,9,5,1,0,0
51,Canadian,Married,Masters,Canada,Tourist,119,5895,2952,17,4,1,0,0
33,American,Single,PhD,Canada,Work,224,3402,162478,16,3,0,0,0
37,Canadian,Divorced,Bachelors,UK,Work,75,13337,82860,2,1,1,0,1
20,Chinese,Divorced,Bachelors,France,Student,205,8196,16612,20,3,0,0,0
40,Indian,Married,Masters,Canada,Student,8,9991,149394,4,0,1,0,1
57,Chinese,Married,High School,France,Student,74,14332,138733,5,3,1,0,0
45,Chinese,Married,Bachelors,Germany,Tourist,293,2310,46447,14,2,0,0,0
30,Indian,Divorced,Bachelors,Canada,Work,305,8235,72509,13,3,1,0,0
48,British,Married,High School,France,Work,164,6313,180985,1,1,0,0,1
34,Australian,Divorced,Bachelors,USA,Student,170,11417,41894,0,3,0,0,0
19,Australian,Divorced,Bachelors,USA,Tourist,298,5372,182000,5,3,1,0,0
30,Nigerian,Married,High School,France,Student,42,7898,161946,5,2,1,0,1
29,American,Divorced,PhD,Germany,Tourist,286,14858,193828,14,2,1,0,1
22,American,Married,Bachelors,USA,Tourist,358,14077,79152,4,4,1,0,0
56,Nigerian,Single,Bachelors,Germany,Tourist,277,6283,42427,8,5,1,0,0
55,German,Single,Masters,USA,Work,104,3417,130195,3,5,1,0,0
44,German,Single,Bachelors,Australia,Student,220,3646,150508,16,5,0,0,0
35,Indian,Divorced,Bachelors,Australia,Work,211,13192,92144,13,2,0,0,1
25,Nigerian,Divorced,High School,USA,Tourist,345,8520,65670,19,4,0,0,0
45,Canadian,Divorced,PhD,USA,Work,59,10815,11599,11,2,0,0,0
66,British,Married,High School,Canada,Tourist,64,5238,15031,6,2,1,0,0
66,British,Divorced,PhD,France,Student,20,6814,170814,7,3,0,0,0
32,Nigerian,Divorced,Masters,Australia,Student,267,10040,55881,7,5,1,0,0
36,Australian,Single,Masters,Australia,Student,294,6108,45303,14,0,0,0,1
68,Chinese,Single,PhD,UK,Work,172,851,46672,17,5,0,0,0
50,Chinese,Divorced,PhD,Canada,Tourist,322,6534,47841,17,2,1,0,0
68,Australian,Married,Bachelors,Australia,Tourist,20,10986,47914,8,1,0,0,1
48,Canadian,Married,PhD,France,Student,193,1871,105167,11,1,1,0,1
27,Chinese,Married,High School,UK,Work,227,3842,19520,6,1,0,0,0
21,Australian,Single,Masters,Canada,Tourist,297,7488,119732,8,1,0,0,1
20,German,Divorced,Bachelors,Canada,Tourist,123,11403,75812,5,4,1,0,0
66,Nigerian,Single,Bachelors,Germany,Work,331,10856,34222,9,3,0,0,0
32,Chinese,Divorced,PhD,Canada,Student,289,3511,148164,3,2,0,1,0
67,American,Single,Masters,Germany,Work,294,12171,187541,0,3,0,0,0
55,Chinese,Divorced,Masters,UK,Work,347,9826,129216,4,5,0,0,0
24,Australian,Divorced,Bachelors,Australia,Work,290,10852,126707,19,1,1,0,1
64,American,Single,Bachelors,UK,Tourist,34,7559,79916,10,1,0,0,1
64,Indian,Single,PhD,UK,Tourist,60,11749,188321,13,3,1,0,1
31,Indian,Divorced,PhD,Australia,Student,98,14605,103751,6,5,1,1,0
35,Nigerian,Married,Masters,UK,Work,110,10466,70381,13,2,0,0,1
59,Nigerian,Divorced,Masters,France,Tourist,197,6809,22913,1,4,0,0,0
19,Australian,Single,High School,USA,Tourist,85,3425,166453,1,0,0,0,1
22,British,Single,Masters,Germany,Student,221,6982,20982,7,3,0,0,0
19,British,Divorced,PhD,USA,Student,251,14434,192619,4,0,1,0,1
28,Australian,Married,PhD,Canada,Tourist,235,13100,77814,0,1,1,0,1
53,American,Single,Masters,Germany,Student,279,2733,31075,12,1,0,0,1
46,Chinese,Single,Masters,Canada,Tourist,292,6267,122643,13,5,0,0,0
66,Indian,Divorced,High School,France,Work,24,4406,26066,6,1,1,0,1
50,Nigerian,Married,Bachelors,Canada,Tourist,20,10886,38530,2,1,0,0,0
31,Chinese,Married,PhD,Canada,Tourist,194,12430,13673,7,5,0,0,0
27,Australian,Divorced,High School,Australia,Student,165,8675,85424,20,5,1,0,0
25,American,Single,PhD,Australia,Work,310,1679,87818,2,4,1,0,0
48,Chinese,Single,Bachelors,UK,Student,202,4196,24437,8,2,0,0,0
57,German,Married,High School,Germany,Student,322,3824,156341,3,4,0,0,0
20,Australian,Married,Bachelors,Canada,Student,311,6808,117288,7,4,0,0,0
40,German,Divorced,Masters,USA,Student,183,12155,25888,3,0,1,0,1
44,Australian,Married,Bachelors,USA,Tourist,154,9889,105459,18,1,1,0,1
38,Canadian,Divorced,Bachelors,France,Student,208,9305,31281,15,1,1,0,1
31,British,Divorced,PhD,Australia,Student,267,11497,191521,13,1,0,0,1
41,Chinese,Single,Masters,Australia,Work,93,1367,17083,0,3,0,0,0
48,Indian,Married,Masters,Canada,Work,47,3533,75251,6,5,0,0,0
37,Canadian,Divorced,Bachelors,USA,Work,208,3266,152542,9,4,0,0,0
50,Canadian,Single,Masters,Canada,Work,245,4832,151943,5,1,1,0,1
68,British,Single,Masters,Canada,Student,179,11179,108396,7,2,1,0,1
66,German,Married,Masters,Australia,Student,34,9897,21852,19,4,1,0,0
65,German,Married,High School,UK,Student,130,840,106570,12,1,0,0,0
37,German,Single,High School,Canada,Work,120,5978,114254,18,1,0,0,1
66,Canadian,Married,High School,USA,Student,306,5554,173301,17,5,0,0,0
50,Australian,Single,High School,Canada,Tourist,214,11424,86513,16,1,0,0,0
62,Australian,Married,PhD,Germany,Tourist,318,8433,100571,0,1,0,0,1
19,Nigerian,Divorced,PhD,Australia,Student,34,8118,177537,20,5,0,0,0
44,Indian,Married,Masters,UK,Student,177,4981,33749,6,4,0,0,0
33,Canadian,Divorced,PhD,USA,Student,267,11383,112217,18,4,0,0,0
40,Nigerian,Married,PhD,USA,Work,194,12749,60583,3,3,1,0,0
24,Chinese,Single,High School,France,Tourist,362,14661,38136,1,2,1,0,0
42,Chinese,Married,Masters,France,Tourist,46,12307,46337,14,3,1,0,0
34,Nigerian,Divorced,PhD,Germany,Student,173,2832,91019,6,1,0,0,1
33,Nigerian,Married,High School,Australia,Student,66,2296,159043,9,2,0,0,1
65,Canadian,Single,PhD,France,Student,49,9432,107501,9,1,0,0,1
49,Chinese,Married,Masters,Germany,Student,147,3952,30429,7,4,0,0,0
43,Canadian,Divorced,Bachelors,Germany,Tourist,117,6143,36136,6,1,0,0,0
30,Chinese,Divorced,High School,USA,Tourist,177,10312,155311,2,2,1,0,1
36,Indian,Married,Bachelors,Australia,Student,15,4442,3884,20,2,0,0,0
33,British,Single,High School,Canada,Work,297,6576,180464,14,3,0,0,0
47,Nigerian,Married,PhD,UK,Tourist,290,6970,170570,2,3,0,0,0
48,German,Married,High School,France,Student,37,14610,18206,5,5,0,0,0
54,Canadian,Single,High School,UK,Work,34,839,63343,10,0,1,0,1
29,Nigerian,Divorced,PhD,Germany,Student,88,13236,106520,1,3,0,0,0
54,Indian,Married,Masters,France,Tourist,216,2809,136551,4,4,0,0,0
59,American,Divorced,High School,Canada,Tourist,69,8397,35496,15,1,1,0,0
38,German,Single,Bachelors,Canada,Work,205,5222,54694,12,2,1,0,1
33,Canadian,Single,Masters,Australia,Tourist,355,7717,164967,15,1,0,0,1
53,German,Single,PhD,UK,Work,292,6040,5489,7,1,0,0,1
61,Nigerian,Divorced,Masters,Australia,Work,317,3138,116800,11,0,1,0,1
50,British,Married,Masters,France,Student,141,2846,90816,12,5,0,0,0
61,British,Single,Masters,UK,Tourist,301,11655,128123,11,0,0,0,1
53,Chinese,Divorced,High School,USA,Tourist,197,844,91891,13,1,0,0,0
36,Indian,Divorced,High School,Canada,Work,157,12857,75626,16,4,1,0,0
43,American,Married,Masters,USA,Work,303,7862,41150,12,2,1,0,0
56,Indian,Divorced,Masters,Canada,Tourist,249,1142,37157,1,3,1,0,0
41,Australian,Divorced,PhD,Canada,Tourist,209,9304,93433,11,3,1,0,0
67,German,Single,High School,France,Student,232,6317,138368,9,5,1,1,0
49,Indian,Divorced,Bachelors,USA,Student,168,10585,16826,13,5,0,0,0
26,Chinese,Divorced,High School,Germany,Student,226,9678,45320,0,4,1,0,0
29,Chinese,Married,Masters,USA,Student,44,12353,150130,7,3,1,0,1
60,Nigerian,Single,High School,USA,Tourist,263,3797,63801,8,1,0,0,0
30,Australian,Divorced,PhD,Australia,Tourist,67,730,1732,10,4,0,1,0
24,Chinese,Divorced,PhD,Canada,Tourist,99,8511,83753,5,3,0,0,0
56,Indian,Married,PhD,Australia,Work,152,1999,49644,16,0,0,0,0
45,Canadian,Married,High School,France,Tourist,92,10097,71565,12,2,0,0,0
48,Canadian,Single,PhD,UK,Student,235,3706,123623,16,2,1,0,1
37,German,Divorced,PhD,Australia,Student,302,3208,157266,20,3,0,1,0
33,Nigerian,Divorced,High School,France,Work,121,9123,187157,18,0,0,0,1
52,American,Single,Bachelors,UK,Student,327,3470,30850,6,5,0,0,0
39,American,Single,Masters,Canada,Student,348,8913,160947,8,4,0,1,0
58,Chinese,Single,Bachelors,France,Tourist,223,14503,70917,9,3,1,0,0
20,Chinese,Divorced,High School,Germany,Student,185,11925,27903,10,4,1,0,0
26,Chinese,Married,Bachelors,Canada,Work,167,14224,64693,3,3,0,0,0
43,Canadian,Divorced,High School,USA,Tourist,46,5265,17673,2,3,1,0,0
56,Canadian,Single,Masters,Canada,Work,195,12815,1762,4,1,1,0,1
26,Canadian,Divorced,High School,France,Work,40,5838,74488,0,1,1,0,1
33,Indian,Single,PhD,USA,Tourist,44,4007,199675,14,4,1,0,0
27,British,Divorced,High School,UK,Tourist,218,7399,15413,13,3,0,0,0
48,Nigerian,Single,High School,UK,Student,207,7969,34499,6,3,1,0,0
30,British,Divorced,Bachelors,France,Work,93,9519,37459,0,2,1,0,0
27,British,Divorced,Masters,Germany,Work,305,5911,172635,17,5,1,0,0
33,Canadian,Divorced,Bachelors,Germany,Tourist,337,13105,26571,11,1,1,0,1
66,Nigerian,Divorced,PhD,Germany,Student,281,9323,30968,5,0,0,0,1
30,Nigerian,Divorced,Masters,UK,Student,200,11719,114559,13,5,1,0,0
59,German,Married,Masters,USA,Student,7,7723,46547,5,5,0,0,0
28,Chinese,Divorced,PhD,Germany,Student,319,2607,188926,12,1,1,0,1
48,German,Single,High School,UK,Tourist,287,10139,7484,16,0,0,0,1
20,Australian,Married,PhD,France,Student,13,10384,23947,20,2,1,0,0
44,Indian,Divorced,Masters,France,Tourist,65,11374,60436,19,2,1,0,1
32,Chinese,Single,PhD,UK,Student,211,1405,180455,9,2,1,0,1
52,Nigerian,Single,High School,Australia,Work,329,9135,4729,6,2,1,0,0
21,Nigerian,Married,High School,France,Student,21,3899,162512,17,4,0,0,0
20,German,Married,High School,USA,Work,304,4399,83679,13,5,0,0,0
56,Australian,Married,Masters,Canada,Student,26,4178,126318,0,0,1,0,1
69,Canadian,Single,Bachelors,UK,Tourist,299,11450,179380,12,1,1,0,1
58,Canadian,Married,PhD,UK,Work,270,2848,148120,3,1,0,0,0
35,Canadian,Divorced,Bachelors,France,Work,26,11549,146033,2,5,1,0,0
46,Canadian,Married,High School,France,Tourist,178,9826,196306,1,2,1,0,0
41,American,Single,PhD,Australia,Work,256,2000,126467,19,2,1,0,1
39,Nigerian,Married,Masters,Germany,Tourist,230,13098,43479,16,2,0,0,0
26,American,Married,High School,Australia,Work,86,8122,186847,18,1,0,0,1
66,American,Divorced,High School,Australia,Work,81,5211,75978,13,0,1,0,1
54,American,Married,Masters,France,Work,36,4172,103528,2,1,0,1,0
30,British,Divorced,PhD,Canada,Student,273,13787,65275,5,0,1,0,1
59,Nigerian,Single,Masters,Australia,Student,272,12940,79930,9,5,0,0,0
32,American,Married,Masters,USA,Work,44,11876,135527,15,0,0,0,1
34,Nigerian,Married,High School,France,Tourist,68,5764,194787,8,1,0,0,1
69,Nigerian,Single,Masters,Germany,Student,219,10849,136227,13,5,0,0,0
63,Chinese,Divorced,Bachelors,Germany,Work,120,7586,4033,16,4,1,0,0
38,British,Single,Bachelors,France,Student,276,622,119609,3,4,0,0,0
48,German,Single,High School,UK,Student,340,2804,129746,7,3,0,0,0
67,German,Married,Bachelors,Australia,Tourist,43,12544,157365,6,5,0,0,0
39,British,Divorced,Masters,Canada,Student,81,970,169152,18,2,1,0,0
29,Nigerian,Married,Bachelors,Germany,Work,62,7197,51952,14,5,1,0,0
18,German,Single,Masters,Germany,Work,342,14841,161156,12,0,0,0,1
38,Nigerian,Married,High School,France,Student,141,5556,45316,5,0,1,0,1
33,British,Single,Masters,Australia,Student,293,12532,40708,9,2,1,0,1
29,Indian,Divorced,High School,France,Work,224,7669,135224,16,0,1,1,1
67,British,Married,Bachelors,UK,Student,164,13093,83482,6,1,1,0,1
61,Indian,Divorced,PhD,USA,Work,20,13958,58904,8,5,0,0,0
44,German,Divorced,Bachelors,Australia,Work,202,11330,176211,7,3,1,0,0
56,Indian,Married,High School,Canada,Student,286,14177,122511,8,3,0,0,1
68,Chinese,Single,PhD,Canada,Work,46,10525,43120,6,5,1,0,0
44,Indian,Divorced,PhD,Australia,Student,130,10465,169857,17,3,1,0,1
60,Canadian,Divorced,PhD,USA,Tourist,337,13922,132195,2,0,1,0,1
60,Indian,Single,PhD,France,Student,91,1680,46273,13,1,0,0,1
24,British,Single,Bachelors,USA,Tourist,8,8504,69816,7,0,0,0,1
41,British,Single,High School,France,Student,30,3519,72021,6,2,1,1,0
66,Canadian,Married,Masters,Canada,Tourist,70,4277,61707,1,3,1,0,1
48,German,Divorced,High School,France,Student,273,5309,86193,6,4,0,0,0
62,Australian,Divorced,Bachelors,Australia,Work,360,3761,128691,6,0,0,0,1
67,American,Single,PhD,USA,Work,195,5318,193225,20,5,0,0,0
28,Indian,Married,Masters,Germany,Student,341,9479,88157,7,0,1,0,1
55,Indian,Divorced,Masters,USA,Tourist,340,8960,188923,5,0,0,0,1
40,American,Single,PhD,Canada,Student,55,858,55003,13,3,0,0,0
69,Chinese,Divorced,PhD,France,Tourist,248,7834,41788,0,4,1,0,0
39,Australian,Single,Bachelors,Germany,Student,239,14566,5275,10,2,0,0,0
66,Canadian,Married,Masters,Australia,Tourist,11,12167,19258,13,3,1,0,0
50,Indian,Married,Masters,USA,Tourist,306,11478,182655,5,2,1,0,0
27,Nigerian,Single,PhD,Germany,Student,32,1781,72452,11,5,0,0,0
23,British,Married,Masters,UK,Student,71,14314,35046,4,3,1,0,0
34,American,Married,Bachelors,Germany,Work,144,9742,53270,8,1,0,0,1
28,Indian,Divorced,Masters,Australia,Tourist,131,4863,56274,2,5,1,0,0
66,Nigerian,Single,Bachelors,USA,Tourist,256,8659,191126,5,5,0,0,0
69,Indian,Single,Bachelors,France,Tourist,307,8541,176753,9,3,0,0,0
19,Nigerian,Married,Masters,Germany,Student,38,7292,75074,16,4,1,0,0
30,American,Single,PhD,Australia,Student,71,7736,36794,3,1,0,0,1
67,Indian,Divorced,Bachelors,Canada,Student,187,6805,12400,20,2,0,0,0
21,Australian,Divorced,Masters,UK,Work,352,3252,11784,14,0,1,1,1
41,Nigerian,Married,PhD,Germany,Tourist,234,12045,148678,3,0,0,1,1
59,Nigerian,Single,PhD,Canada,Student,49,1658,152239,16,4,1,0,0
37,Indian,Single,Masters,USA,Student,80,11874,150257,1,4,1,0,0
63,Nigerian,Single,Bachelors,USA,Student,9,1450,177611,16,1,0,0,1
21,Canadian,Married,Bachelors,USA,Work,299,12814,2153,6,3,1,0,0
44,British,Single,Bachelors,Canada,Student,348,10749,116661,13,5,1,0,0
68,German,Divorced,PhD,Germany,Work,262,10440,188242,14,2,0,0,1
54,German,Divorced,PhD,Australia,Tourist,77,2341,11284,1,2,1,0,0
25,Australian,Divorced,High School,Australia,Tourist,60,6153,89789,17,0,1,0,1
48,German,Married,PhD,Germany,Tourist,144,7451,190880,15,0,1,0,1
33,American,Married,Masters,Canada,Tourist,143,3550,157448,10,5,1,0,0
33,Canadian,Single,Bachelors,Germany,Tourist,22,6665,151934,13,0,1,0,1
41,Canadian,Single,PhD,Canada,Student,244,4832,100217,16,0,1,0,1
65,Chinese,Married,High School,UK,Student,48,9735,68326,10,2,1,0,1
49,Chinese,Single,High School,Canada,Tourist,32,12567,132510,12,0,1,0,1
25,Chinese,Single,Bachelors,Australia,Student,92,9885,109128,1,1,0,0,1
57,Nigerian,Single,PhD,France,Student,7,13963,20034,20,0,0,0,1
51,Nigerian,Married,Masters,UK,Tourist,191,12764,101742,1,5,0,0,0
37,Nigerian,Divorced,PhD,Australia,Work,248,12797,172742,19,1,0,0,1
51,British,Single,High School,Canada,Tourist,79,8645,25732,20,5,1,1,0
45,Nigerian,Married,High School,USA,Work,32,5667,38709,18,3,1,0,0
51,British,Single,Masters,UK,Student,279,7592,194027,17,2,1,1,0
44,Chinese,Married,Masters,Canada,Work,247,6679,108158,16,1,1,0,1
25,British,Married,High School,USA,Student,267,1345,133393,7,3,1,0,0
36,British,Divorced,PhD,USA,Student,119,14135,45063,5,3,0,0,0
60,Australian,Divorced,Bachelors,Canada,Work,170,4466,192156,18,5,1,0,0
38,Nigerian,Divorced,Bachelors,Germany,Student,133,9180,105382,13,3,1,0,0
66,Nigerian,Married,Masters,France,Tourist,233,5418,38847,11,0,0,0,1
33,Indian,Single,Masters,USA,Student,198,3270,77116,19,2,0,0,0
58,British,Divorced,Masters,Canada,Student,282,8444,45882,15,5,0,0,0
59,British,Divorced,Masters,France,Tourist,206,10467,13132,20,5,1,0,0
60,Australian,Married,PhD,Germany,Tourist,224,10747,1902,3,5,1,0,0
38,Indian,Married,Masters,UK,Student,301,7661,34039,16,3,0,1,0
40,Nigerian,Married,High School,France,Tourist,233,2304,145755,3,0,0,0,1
58,Nigerian,Single,Bachelors,UK,Tourist,308,3865,116133,15,4,1,0,0
46,Australian,Married,Masters,Australia,Tourist,194,6187,102622,3,5,1,0,0
51,Nigerian,Single,Bachelors,Australia,Student,258,7765,175821,10,3,0,0,0
43,Nigerian,Single,Bachelors,USA,Tourist,220,1599,115605,8,5,0,0,0
59,Chinese,Divorced,Bachelors,Germany,Tourist,122,5320,26961,4,2,0,0,0
20,Chinese,Married,Bachelors,USA,Work,216,10049,118510,10,1,0,0,1
23,Chinese,Divorced,PhD,France,Tourist,225,1890,102471,13,0,0,0,1
26,Australian,Married,High School,Australia,Tourist,325,7874,151632,7,2,0,0,1
19,Canadian,Married,High School,Germany,Student,333,4522,89979,15,3,1,0,0
54,Australian,Divorced,PhD,UK,Work,49,10763,102706,0,4,1,1,0
34,Nigerian,Divorced,High School,Canada,Tourist,306,10667,134460,19,4,0,0,0
55,Chinese,Divorced,High School,UK,Student,91,6390,156852,20,1,0,0,1
22,Nigerian,Divorced,High School,France,Student,202,838,88786,8,4,0,0,0
18,British,Married,Masters,Australia,Work,131,4711,143819,3,3,0,0,0
35,Canadian,Single,PhD,Australia,Work,275,13218,190995,7,4,1,0,0
28,Canadian,Divorced,Bachelors,UK,Work,154,9419,16220,2,4,1,0,0
57,German,Divorced,Masters,France,Student,212,3695,155734,10,2,0,0,1
61,German,Divorced,Masters,USA,Tourist,329,8379,47547,8,5,0,0,0
61,German,Single,Masters,UK,Student,284,6370,182024,7,1,0,0,1
50,German,Divorced,PhD,USA,Work,138,12022,86912,0,4,1,0,0
25,Nigerian,Married,PhD,Australia,Work,279,5605,67180,11,1,0,0,1
46,German,Married,Masters,Australia,Student,164,7575,130972,17,1,0,0,1
31,American,Divorced,High School,UK,Student,181,14252,47529,2,2,1,1,0
38,British,Single,Masters,Canada,Tourist,167,3061,38147,7,5,1,0,0
69,Chinese,Married,Masters,France,Tourist,29,12045,83679,7,0,1,0,1
31,German,Married,Bachelors,UK,Tourist,346,10540,158203,18,1,1,0,1
34,Australian,Single,PhD,Germany,Work,75,13152,191697,6,4,0,1,0
26,Canadian,Single,Bachelors,USA,Student,311,7056,87293,12,2,0,0,0
34,British,Married,Bachelors,France,Work,118,11053,126454,17,2,0,0,0
24,Indian,Single,Bachelors,Germany,Tourist,147,1220,176449,19,0,1,0,1
40,Australian,Single,Masters,Germany,Tourist,338,3665,64420,6,1,1,0,1
58,American,Single,Bachelors,Germany,Work,170,4445,53659,10,3,0,0,0
19,Nigerian,Single,High School,Germany,Work,83,14320,30067,7,1,0,0,0
58,Nigerian,Divorced,High School,Germany,Student,308,8778,171974,7,5,0,0,0
64,Chinese,Single,Bachelors,USA,Tourist,41,2131,65284,0,4,1,0,0
37,Nigerian,Single,Masters,Canada,Tourist,186,12546,128118,1,0,0,0,1
48,German,Single,PhD,USA,Tourist,298,3298,58259,20,3,1,0,1
