age,nationality,marital_status,education_level,destination_country,visa_type,duration_of_stay,monthly_income_usd,bank_balance_usd,prev_countries_visited,prev_visa_rejections,has_return_ticket,has_criminal_record,visa_approved
54,Canadian,Married,Masters,Germany,Student,336,4336,174434,0,3,1,0,0
36,Chinese,Married,PhD,UK,Work,105,8210,199924,0,2,1,0,1
68,Indian,Single,PhD,Australia,Student,195,8985,38351,20,4,0,0,0
67,British,Divorced,Masters,USA,Work,352,1223,138929,6,2,1,0,1
54,Nigerian,Single,Masters,USA,Tourist,242,13520,86848,5,2,1,0,1
31,Canadian,Single,Bachelors,Canada,Tourist,146,2064,107400,16,1,1,0,1
52,British,Divorced,High School,UK,Student,44,6181,119849,1,1,1,0,1
67,Australian,Single,High School,USA,Student,217,4294,156507,0,5,0,0,0
34,Canadian,Married,PhD,Australia,Student,333,9732,51474,11,4,1,0,1
61,Indian,Married,Bachelors,Canada,Tourist,344,6227,181228,2,1,0,0,1
59,British,Married,PhD,Canada,Work,130,8761,35427,10,0,0,0,1
43,German,Divorced,High School,USA,Work,177,11072,28152,8,0,1,0,1
52,Chinese,Married,High School,USA,Work,11,4397,51289,14,1,0,0,1
42,Australian,Divorced,Masters,Canada,Work,328,1599,72329,5,4,0,0,0
39,Australian,Married,PhD,Australia,Tourist,289,9441,89321,3,0,1,1,1
31,Indian,Divorced,Bachelors,UK,Tourist,218,3492,152045,20,4,0,0,0
38,German,Married,PhD,Canada,Student,154,10745,175746,19,2,1,0,1
38,Chinese,Divorced,High School,France,Work,267,7636,183850,1,0,0,0,1
42,Australian,Single,High School,UK,Tourist,139,12810,133298,9,0,0,0,1
67,Indian,Single,Masters,USA,Work,101,11822,53472,8,4,1,0,0
25,American,Divorced,Bachelors,UK,Tourist,154,9222,114766,12,0,0,0,1
21,Australian,Divorced,Masters,Australia,Tourist,347,8092,195007,9,3,0,0,1
40,Canadian,Single,PhD,Germany,Work,344,4325,34207,18,5,0,0,0
58,American,Married,High School,USA,Student,115,8397,116822,19,4,0,0,0
49,German,Divorced,High School,UK,Work,295,14631,195507,12,4,0,0,0
20,German,Divorced,Bachelors,Australia,Tourist,294,8336,182361,0,0,0,0,1
21,Chinese,Single,Masters,Germany,Tourist,85,12385,37341,15,0,1,0,1
57,American,Single,High School,Canada,Tourist,329,8619,92062,18,4,0,0,0
55,Indian,Married,PhD,UK,Student,119,13857,186241,9,0,0,0,1
45,Australian,Married,Bachelors,Germany,Tourist,244,1347,163296,1,5,1,0,0
42,British,Single,High School,USA,Student,124,4403,86219,19,4,1,0,0
43,American,Married,Bachelors,Canada,Work,50,10433,129815,0,5,0,0,0
25,Australian,Married,Masters,Germany,Tourist,212,13176,193636,9,3,1,0,1
58,American,Married,High School,Canada,Tourist,347,4525,193235,18,5,0,0,0
25,Indian,Single,High School,UK,Tourist,318,6603,131279,16,5,0,0,0
66,Indian,Single,Masters,UK,Tourist,329,11643,66179,16,4,0,0,0
27,American,Divorced,High School,USA,Student,167,2739,82813,8,1,1,0,1
62,Nigerian,Single,Bachelors,Canada,Student,218,12541,182555,20,0,0,0,1
59,Nigerian,Divorced,PhD,Australia,Work,294,11092,195447,12,2,1,0,1
26,Canadian,Single,Masters,Canada,Student,149,11207,84305,10,4,1,0,0
27,Indian,Single,Masters,USA,Work,303,2444,141234,13,3,0,0,0
20,British,Married,Bachelors,USA,Tourist,234,5149,20000,14,0,1,0,1
31,American,Single,PhD,USA,Tourist,340,8087,110474,11,0,0,0,1
28,Nigerian,Single,Masters,Canada,Work,347,9112,141636,20,1,1,0,1
36,American,Divorced,PhD,Canada,Work,346,5461,61263,9,2,0,0,1
22,Canadian,Divorced,PhD,Canada,Tourist,88,5933,159624,14,2,0,0,1
62,German,Married,PhD,Australia,Work,116,13126,13357,5,5,0,0,0
56,British,Married,High School,Australia,Tourist,282,3311,131614,5,1,1,0,1
18,Nigerian,Single,High School,Germany,Tourist,186,8982,173750,8,4,1,0,1
61,Chinese,Married,PhD,Australia,Work,350,3918,177155,19,1,0,0,1
44,Nigerian,Divorced,Bachelors,Germany,Student,32,12575,41969,17,2,0,0,0
30,British,Married,Masters,UK,Tourist,304,5774,81362,18,0,1,0,1
63,Indian,Single,High School,France,Work,292,13690,92044,16,4,1,0,0
28,Canadian,Married,PhD,Germany,Student,354,12607,51781,16,4,0,1,0
28,Canadian,Married,PhD,Germany,Student,25,10338,52761,9,1,1,0,1
40,Chinese,Divorced,High School,Germany,Work,22,11496,151274,13,0,1,0,1
28,British,Married,Masters,France,Work,236,14283,146133,10,0,1,0,1
34,American,Married,High School,France,Tourist,265,12912,142872,20,1,0,0,1
65,German,Married,Masters,USA,Student,350,5284,4097,12,1,1,0,1
51,German,Divorced,Bachelors,Germany,Work,17,10443,91114,11,5,0,0,0
66,Indian,Divorced,Bachelors,UK,Work,194,13120,189893,10,2,0,0,0
67,Canadian,Divorced,High School,USA,Tourist,118,4194,76740,3,3,0,0,0
51,Canadian,Single,Bachelors,UK,Work,180,12070,137118,3,2,0,0,0
48,Australian,Married,Bachelors,France,Work,265,14222,142065,16,5,1,1,0
59,Indian,Single,Bachelors,Germany,Student,188,11937,74766,10,1,1,0,1
36,Chinese,Single,High School,Germany,Tourist,239,8321,156807,16,5,0,0,0
60,Canadian,Single,Masters,Canada,Student,285,11560,80130,4,5,1,0,0
42,American,Married,Masters,UK,Tourist,18,1970,57694,1,5,1,0,0
40,Australian,Single,PhD,Australia,Tourist,175,12843,178424,16,4,1,0,0
68,Canadian,Single,Masters,France,Tourist,117,7877,50992,19,3,1,0,0
37,Australian,Married,Masters,France,Tourist,172,9340,114948,15,5,1,0,0
43,Canadian,Married,Bachelors,Canada,Student,145,3584,82291,15,4,0,0,0
18,Indian,Married,PhD,Germany,Student,333,9607,191865,2,5,1,0,0
44,German,Divorced,Masters,UK,Student,348,13512,13218,9,2,1,0,1
21,British,Single,PhD,UK,Tourist,119,545,199742,6,2,0,0,0
66,Canadian,Married,Masters,Canada,Tourist,125,10611,76306,15,1,0,0,1
63,German,Single,PhD,Australia,Student,334,8304,118141,16,3,1,0,1
19,American,Divorced,Masters,USA,Tourist,86,2454,38868,8,3,1,0,0
39,Nigerian,Divorced,Bachelors,Germany,Tourist,33,1234,34341,3,4,0,0,0
30,Canadian,Single,Bachelors,UK,Work,226,8353,193506,19,1,1,0,1
50,Nigerian,Divorced,Masters,Germany,Work,190,9811,148190,16,5,1,0,0
21,German,Married,Masters,Australia,Tourist,37,11687,30301,3,5,1,0,0
39,Canadian,Single,PhD,UK,Work,73,8671,96281,12,1,0,0,1
52,British,Single,Masters,Australia,Work,120,1801,45879,12,3,0,0,0
35,British,Divorced,PhD,France,Tourist,146,6137,82782,17,1,0,0,1
49,Canadian,Divorced,PhD,UK,Student,147,2467,30798,13,5,1,0,0
59,Australian,Married,High School,Australia,Student,215,14845,190233,11,1,0,0,1
19,Nigerian,Single,PhD,USA,Work,312,3060,109817,0,2,0,0,0
57,Nigerian,Single,Masters,UK,Student,72,13809,19274,18,1,0,0,1
40,Canadian,Divorced,Masters,Germany,Work,291,1323,187008,19,0,1,0,1
26,British,Married,Bachelors,USA,Work,56,11978,178837,8,3,0,0,0
44,German,Divorced,High School,UK,Work,188,6726,60871,10,1,0,0,1
53,Australian,Divorced,Bachelors,USA,Student,186,11248,178509,19,4,0,0,0
61,Canadian,Married,Bachelors,France,Work,246,1186,53274,20,0,0,0,1
42,German,Married,Masters,Australia,Tourist,299,14193,167834,9,0,1,0,1
52,Nigerian,Single,Masters,Australia,Tourist,269,2400,82005,12,1,1,0,1
55,Chinese,Married,High School,Canada,Student,199,9688,100916,6,0,1,1,1
54,American,Divorced,PhD,Australia,Tourist,240,11199,26337,4,0,1,0,1
57,British,Single,High School,Germany,Tourist,11,12243,46804,0,3,1,0,0
61,Chinese,Married,Masters,USA,Tourist,201,5481,104405,14,3,1,0,1
20,German,Divorced,Bachelors,USA,Work,99,11264,19408,17,4,1,0,0
18,German,Divorced,High School,Germany,Tourist,231,14435,128547,17,5,0,0,0
47,Chinese,Married,Masters,UK,Work,64,11359,148178,2,3,1,0,1
46,Chinese,Married,High School,Germany,Tourist,347,14052,134031,10,3,1,0,0
22,British,Divorced,Bachelors,USA,Tourist,322,14549,64156,20,5,0,0,0
37,Indian,Married,Masters,Australia,Tourist,305,7118,59241,6,2,1,0,0
35,Australian,Divorced,High School,France,Student,91,14541,165991,10,3,0,0,0
35,Nigerian,Divorced,High School,Australia,Student,191,10561,58360,0,5,0,0,0
68,Indian,Married,PhD,France,Student,175,8839,130866,0,0,1,0,1
21,American,Married,Bachelors,Australia,Student,303,12131,65953,13,2,1,0,0
57,Australian,Married,PhD,Canada,Tourist,171,11777,173064,1,5,1,0,0
24,British,Single,Bachelors,France,Student,170,2057,10621,5,1,1,0,0
67,Canadian,Divorced,Bachelors,Canada,Student,260,1305,83309,0,3,0,1,0
22,Nigerian,Single,PhD,France,Tourist,314,2309,196677,4,0,1,0,1
46,British,Divorced,Masters,France,Work,351,13948,57039,1,4,0,0,0
22,Australian,Single,Masters,UK,Tourist,186,6433,191695,7,3,0,0,0
64,Indian,Divorced,High School,UK,Work,308,1906,66381,1,5,0,0,0
47,Indian,Single,Masters,Canada,Student,24,14162,61960,11,1,1,0,1
27,Indian,Single,PhD,USA,Student,13,4120,188595,6,2,0,0,1
57,Australian,Married,PhD,USA,Work,184,6421,100684,14,4,0,0,0
32,German,Divorced,High School,Canada,Tourist,296,13273,37942,4,4,1,0,0
42,Chinese,Single,Bachelors,Canada,Tourist,356,13497,9974,8,5,0,0,0
42,Nigerian,Married,Bachelors,France,Student,258,12298,113874,17,0,0,0,1
64,Nigerian,Married,High School,USA,Tourist,161,11710,78451,1,5,1,0,0
24,Canadian,Single,PhD,USA,Work,28,4553,76814,20,4,1,0,0
63,Indian,Divorced,Bachelors,Canada,Work,85,13299,18299,20,4,1,0,0
22,American,Single,Masters,Germany,Tourist,147,805,171881,7,5,1,0,0
49,Indian,Divorced,PhD,Germany,Student,56,719,6137,19,0,0,0,1
46,German,Divorced,Masters,Australia,Work,361,536,183611,8,4,1,0,0
69,Indian,Divorced,Bachelors,Australia,Student,334,14469,189561,14,4,0,0,0
65,Australian,Single,PhD,France,Student,362,4399,3817,3,2,1,0,0
20,Indian,Married,Masters,Canada,Student,221,10613,187497,1,0,1,0,1
57,Nigerian,Married,High School,France,Tourist,15,8832,138852,1,5,1,0,0
47,Indian,Single,Masters,UK,Student,208,4884,164365,8,2,0,0,1
39,Australian,Single,High School,Australia,Tourist,339,3809,94305,6,1,1,0,0
30,Chinese,Divorced,Masters,Australia,Tourist,266,3171,137647,19,5,0,0,0
44,Chinese,Single,Masters,Australia,Student,254,3759,25437,10,4,0,0,0
41,American,Married,Masters,Australia,Student,49,8092,80948,2,5,1,0,0
21,British,Single,PhD,Germany,Work,132,8677,96183,0,3,0,0,0
33,German,Single,High School,Australia,Work,203,10425,149290,3,0,1,0,1
20,Nigerian,Married,High School,Australia,Student,236,9122,46580,11,4,0,0,0
19,Australian,Single,High School,Germany,Work,235,6702,33868,6,3,1,0,0
28,Canadian,Divorced,High School,USA,Student,168,9848,3953,5,2,1,0,0
66,Canadian,Divorced,Bachelors,Canada,Work,350,753,82674,0,1,1,0,0
31,Nigerian,Divorced,High School,Germany,Work,176,10463,139326,18,3,0,0,0
48,Indian,Divorced,High School,Canada,Tourist,273,2809,61539,4,5,0,0,0
57,German,Single,Bachelors,UK,Student,313,2852,146051,13,1,0,0,0
56,Indian,Single,High School,France,Tourist,34,2446,14572,10,5,0,0,0
23,Nigerian,Single,Bachelors,Australia,Student,13,7370,51773,17,0,1,0,1
42,Canadian,Divorced,High School,USA,Tourist,97,14852,124075,1,1,1,0,1
26,Canadian,Divorced,Bachelors,Germany,Tourist,166,738,119337,4,1,0,0,0
43,Canadian,Divorced,High School,Australia,Tourist,102,6242,97383,12,3,1,0,0
44,Indian,Single,Bachelors,USA,Work,147,12693,166247,4,0,1,0,1
35,Australian,Single,PhD,France,Work,177,2126,127495,12,4,1,0,0
46,American,Married,PhD,France,Student,265,14324,143556,19,3,1,0,0
59,Australian,Married,Masters,Australia,Tourist,291,8055,40098,18,1,0,0,1
69,Australian,Single,Masters,UK,Work,254,10043,11796,11,4,0,0,0
53,Australian,Single,Masters,France,Tourist,97,11520,180788,16,3,0,1,0
51,British,Single,Masters,France,Tourist,217,9403,177327,9,5,0,0,0
57,British,Divorced,Bachelors,France,Tourist,272,12867,136957,19,3,0,0,0
54,Indian,Single,Bachelors,Germany,Tourist,259,10424,155212,9,0,1,0,1
18,Australian,Single,Bachelors,Australia,Student,157,3775,46720,16,1,0,0,0
51,British,Divorced,Masters,Germany,Student,144,6172,41207,18,2,1,0,0
24,American,Single,Bachelors,France,Student,189,9069,140341,13,0,0,0,1
22,Australian,Married,Masters,Germany,Student,118,14656,148978,11,0,1,0,1
56,Nigerian,Divorced,PhD,Germany,Student,205,10176,32119,6,2,1,1,0
25,Australian,Divorced,Masters,UK,Work,42,3515,61741,9,5,1,0,0
26,Indian,Married,PhD,Canada,Student,66,11850,197988,9,4,1,0,0
50,British,Married,High School,Australia,Work,312,6834,32869,0,4,1,0,0
38,Nigerian,Married,Masters,USA,Student,179,8098,40975,16,2,0,0,0
54,Canadian,Divorced,Bachelors,Australia,Student,215,4393,94312,12,3,1,0,0
24,Indian,Single,PhD,Australia,Tourist,7,4961,177372,17,0,0,0,1
36,Australian,Divorced,Bachelors,USA,Student,263,8068,47129,9,2,1,0,0
59,Australian,Married,Bachelors,Germany,Tourist,152,5642,51513,8,2,0,0,1
30,Nigerian,Divorced,Bachelors,Canada,Work,350,12395,86588,14,2,1,0,0
57,Indian,Single,High School,Canada,Student,161,13807,199338,0,0,1,0,1
37,German,Single,Masters,Canada,Work,25,13734,49280,17,2,0,0,0
41,American,Divorced,Bachelors,UK,Student,85,12222,65603,8,4,0,0,0
34,Indian,Single,Bachelors,France,Tourist,320,9952,138702,17,3,1,0,0
39,Chinese,Divorced,PhD,USA,Student,151,8320,175836,15,3,0,0,0
60,Chinese,Divorced,Masters,UK,Tourist,361,7562,55125,19,2,0,0,1
33,Indian,Married,High School,UK,Work,22,7471,51776,13,3,0,0,0
40,German,Married,Bachelors,Canada,Tourist,317,4484,24230,7,0,0,0,1
53,British,Single,Bachelors,France,Tourist,290,5693,122651,10,4,1,0,0
51,Canadian,Divorced,Bachelors,Canada,Work,110,10012,181143,9,1,1,1,1
18,German,Single,High School,UK,Tourist,25,3951,192637,20,4,1,0,0
30,Nigerian,Married,Bachelors,Canada,Tourist,143,905,98911,1,2,1,1,0
58,Nigerian,Single,Bachelors,USA,Tourist,231,5774,141809,8,4,0,0,0
45,Chinese,Married,PhD,UK,Work,204,2609,57573,19,3,0,0,0
28,Australian,Married,PhD,Germany,Work,215,7526,162035,20,3,1,0,0
44,British,Single,PhD,UK,Tourist,135,3307,23769,18,2,1,0,0
63,German,Married,Bachelors,Germany,Work,23,4270,124789,1,4,0,0,0
25,British,Married,Bachelors,Australia,Tourist,317,10063,191062,6,0,0,0,1
23,Indian,Divorced,Masters,USA,Tourist,323,5685,58760,13,5,1,0,0
29,British,Married,Bachelors,Canada,Tourist,64,9008,82830,10,5,1,0,0
55,American,Divorced,High School,France,Student,91,8395,182690,20,4,1,0,0
61,British,Divorced,Bachelors,UK,Work,147,6195,61143,1,1,0,0,1
22,Indian,Divorced,Bachelors,USA,Tourist,92,11000,23538,20,5,1,0,0
22,Canadian,Single,PhD,France,Tourist,344,12337,58870,14,4,0,0,0
38,Canadian,Married,PhD,UK,Tourist,134,10085,67152,11,4,1,1,0
20,Australian,Divorced,Bachelors,Germany,Student,195,5622,42312,18,2,0,0,0
29,Nigerian,Married,PhD,Germany,Work,102,12609,140175,14,5,1,0,0
43,German,Single,Masters,UK,Work,274,5651,112813,9,0,0,0,1
21,Canadian,Married,PhD,France,Work,186,3261,21056,14,4,1,0,0
18,Chinese,Married,High School,Germany,Tourist,41,5304,73673,17,5,1,0,0
64,Canadian,Single,High School,Australia,Student,79,13968,168275,8,5,0,0,0
20,Indian,Single,High School,Australia,Work,161,13113,88849,14,3,1,0,0
30,Canadian,Divorced,Bachelors,Canada,Tourist,112,13913,84117,3,3,1,1,0
43,American,Single,PhD,USA,Work,39,4567,153368,17,5,1,0,0
53,Nigerian,Divorced,PhD,Canada,Work,28,9121,136515,5,4,0,0,0
49,British,Married,Bachelors,UK,Tourist,29,14950,33450,17,5,1,0,0
23,American,Married,PhD,USA,Tourist,88,8274,58521,5,4,1,0,0
26,Canadian,Single,Masters,USA,Tourist,360,2117,17386,18,4,0,0,0
24,British,Divorced,High School,UK,Student,311,13880,103244,5,3,1,0,0
69,British,Single,PhD,USA,Student,92,3272,22968,10,0,0,0,1
25,Chinese,Married,Masters,Germany,Work,11,7576,23902,20,0,0,0,1
54,Indian,Single,Masters,Canada,Tourist,359,13643,175714,5,5,1,0,0
37,Indian,Single,High School,Germany,Work,170,12329,158210,15,1,0,0,1
63,Indian,Single,High School,France,Work,95,8600,190339,6,1,1,0,1
47,Indian,Married,Bachelors,USA,Student,85,8383,131968,16,4,0,0,0
63,Indian,Divorced,High School,USA,Tourist,10,2339,67140,5,4,1,0,0
38,Chinese,Single,Masters,UK,Work,258,12508,28232,2,5,0,0,0
24,Chinese,Single,Bachelors,France,Student,342,12626,1566,15,0,0,0,1
36,Chinese,Married,PhD,Germany,Student,251,6622,73110,12,4,1,0,0
19,Nigerian,Divorced,PhD,UK,Student,324,898,1813,5,4,1,0,0
50,Indian,Married,Bachelors,USA,Student,33,14720,33923,8,3,1,0,0
50,Chinese,Single,PhD,Germany,Work,287,5801,51060,10,4,0,0,0
36,Australian,Divorced,Bachelors,Australia,Tourist,199,7830,11382,7,0,0,0,1
64,Indian,Married,High School,Germany,Student,123,9302,177638,11,1,0,0,1
58,Indian,Divorced,PhD,Australia,Work,263,2905,23928,12,4,1,0,0
44,American,Married,PhD,USA,Tourist,67,9163,103797,11,2,0,0,1
63,American,Single,Bachelors,Germany,Tourist,238,5692,175287,0,5,1,0,0
32,Canadian,Divorced,Masters,Canada,Tourist,327,7450,11022,11,3,1,0,0
61,Australian,Single,Masters,UK,Student,72,6683,8664,5,1,0,0,1
53,Canadian,Divorced,Bachelors,Germany,Tourist,198,14375,38649,17,2,0,0,0
46,Canadian,Single,Masters,USA,Student,310,13444,136883,7,1,0,0,1
23,Nigerian,Single,Masters,France,Tourist,42,1737,69359,6,5,0,0,0
45,Indian,Divorced,Masters,Canada,Student,308,4436,88947,11,4,1,0,0
40,German,Single,PhD,France,Work,194,2456,65255,2,2,1,0,1
48,Chinese,Divorced,High School,Germany,Work,220,11878,63204,6,3,1,0,0
58,Chinese,Married,PhD,France,Tourist,343,5443,199717,0,1,0,0,1
38,Nigerian,Married,Bachelors,UK,Tourist,312,13666,121967,20,3,1,0,0
51,American,Divorced,Bachelors,Australia,Work,98,14322,115051,8,4,1,0,0
49,British,Single,Masters,USA,Tourist,267,4502,126056,18,0,1,0,1
26,British,Single,Bachelors,USA,Tourist,27,9803,40311,15,2,1,0,0
47,Australian,Divorced,High School,Australia,Work,143,10367,37332,17,4,0,0,0
40,British,Single,PhD,USA,Work,186,9040,160040,9,5,1,0,0
49,Nigerian,Single,High School,Australia,Work,33,11845,161653,13,0,1,0,1
41,German,Single,PhD,Germany,Tourist,278,12303,23164,16,3,0,0,1
35,Canadian,Married,PhD,France,Work,328,6162,9547,18,0,1,0,1
66,German,Married,High School,France,Student,196,13395,35162,14,5,1,0,0
51,Australian,Married,Bachelors,France,Work,170,6505,155694,4,1,0,0,1
32,German,Divorced,Bachelors,Australia,Work,225,14574,133542,0,4,0,0,0
55,Indian,Married,PhD,UK,Work,110,7454,162647,20,0,0,0,1
44,Canadian,Single,Bachelors,Australia,Tourist,321,14177,118998,10,1,0,0,1
60,Indian,Married,Masters,Germany,Student,276,7520,59134,17,2,1,0,1
35,Indian,Divorced,PhD,Germany,Work,106,8221,74754,20,3,1,0,0
20,Nigerian,Single,PhD,UK,Student,202,13303,55072,13,2,1,0,1
28,Nigerian,Divorced,Masters,USA,Student,351,11166,103543,8,5,1,0,0
39,Chinese,Divorced,Bachelors,UK,Student,294,4017,74693,9,2,0,0,0
26,Canadian,Married,Bachelors,France,Tourist,213,14606,181633,1,2,0,0,1
32,Canadian,Single,Masters,Canada,Student,114,12176,162494,12,3,0,0,0
51,American,Single,High School,Australia,Tourist,297,5328,142164,9,2,1,0,0
67,Nigerian,Married,PhD,USA,Student,9,4438,147975,6,0,0,0,1
42,Chinese,Single,PhD,Australia,Student,89,5378,99058,0,1,1,0,1
41,Nigerian,Divorced,Bachelors,Canada,Student,338,9877,42927,10,3,0,0,0
65,German,Married,PhD,Australia,Work,84,10422,114712,6,4,0,0,0
23,Indian,Single,Bachelors,France,Tourist,103,3286,23459,15,4,1,0,0
69,Nigerian,Single,High School,UK,Tourist,182,12913,32685,4,2,0,1,0
64,Nigerian,Married,PhD,Germany,Student,77,8181,138829,7,4,1,0,0
68,Canadian,Married,PhD,UK,Student,88,11182,195978,1,4,1,0,0
31,Canadian,Married,PhD,Germany,Tourist,61,10983,139221,13,4,0,0,0
52,American,Divorced,High School,France,Tourist,348,13905,36792,2,5,1,0,0
47,American,Divorced,Masters,France,Student,82,6547,165396,10,1,0,1,0
24,Canadian,Single,Masters,Germany,Student,244,11924,76578,8,4,1,0,0
47,Canadian,Married,Masters,Germany,Tourist,248,869,145655,0,5,1,0,0
23,Indian,Married,High School,Australia,Tourist,81,14277,84989,8,4,0,0,0
38,British,Married,Bachelors,USA,Work,289,4585,53735,20,5,1,0,0
37,British,Divorced,Bachelors,UK,Tourist,361,6871,15721,15,2,0,0,0
23,Nigerian,Divorced,PhD,Germany,Student,143,13270,40943,14,0,0,0,1
57,Nigerian,Divorced,Bachelors,Australia,Tourist,21,12770,52055,13,5,0,0,0
21,Chinese,Married,High School,UK,Tourist,259,4682,64917,5,4,0,0,0
65,Australian,Single,Bachelors,USA,Tourist,263,10642,29871,5,2,0,0,0
46,Indian,Single,PhD,France,Work,165,10660,127126,14,1,0,0,1
28,Chinese,Single,PhD,Canada,Work,278,12319,104683,2,4,0,0,0
43,American,Married,High School,Australia,Tourist,233,12032,42897,18,0,1,0,1
63,Canadian,Married,High School,France,Tourist,299,3286,186047,8,5,1,0,0
32,Chinese,Single,High School,Germany,Student,35,7935,133908,5,3,0,0,0
57,Australian,Married,Bachelors,UK,Student,193,12214,161234,14,0,1,0,1
26,Nigerian,Divorced,Bachelors,UK,Work,285,1344,96173,12,5,0,0,0
50,Indian,Single,High School,Germany,Student,16,1098,55199,15,0,0,0,1
24,British,Married,PhD,USA,Tourist,274,9581,5283,11,2,1,0,0
25,Australian,Married,High School,France,Tourist,312,14944,2312,17,0,0,0,1
25,Chinese,Single,High School,Australia,Student,168,1761,162990,13,4,1,0,0
38,Nigerian,Married,PhD,UK,Work,179,7064,171740,0,3,1,0,0
61,British,Single,Bachelors,UK,Work,202,4138,99672,15,2,0,0,1
27,Australian,Single,Bachelors,France,Student,348,5480,26005,19,0,0,0,1
38,German,Single,Bachelors,UK,Work,141,7414,134423,2,3,1,0,0
47,Indian,Single,Bachelors,Germany,Work,89,9005,90774,13,0,0,0,1
41,American,Married,Masters,UK,Student,250,3627,48323,20,3,0,0,0
58,American,Divorced,Masters,France,Tourist,48,14814,85644,15,1,0,0,1
56,Indian,Single,High School,Australia,Work,57,4186,89165,17,1,1,0,1
29,German,Divorced,Bachelors,France,Tourist,298,8787,144023,6,0,1,0,1
58,American,Married,Bachelors,USA,Work,112,10580,8732,3,0,1,0,1
50,American,Divorced,PhD,USA,Student,307,6343,152620,13,1,0,0,1
25,American,Divorced,High School,Australia,Student,151,11534,42708,14,4,1,0,0
28,Nigerian,Divorced,High School,UK,Work,166,3085,109187,16,4,1,0,0
38,Chinese,Married,Bachelors,USA,Tourist,353,2116,157771,1,0,1,0,1
40,Canadian,Married,PhD,Australia,Tourist,12,4726,144121,3,5,0,0,0
63,Indian,Married,Bachelors,Canada,Work,102,1145,152742,10,3,0,0,0
57,British,Divorced,High School,USA,Tourist,363,13985,173829,2,0,0,0,1
45,German,Divorced,High School,Germany,Tourist,114,5946,119967,11,3,1,0,0
48,Chinese,Single,Bachelors,USA,Work,60,4623,88954,6,4,0,0,0
23,Nigerian,Divorced,PhD,UK,Tourist,153,11589,175517,20,3,1,0,0
38,Australian,Single,High School,Australia,Student,338,9722,69396,6,3,0,0,0
22,Indian,Single,PhD,Germany,Tourist,170,4172,2376,16,2,1,0,0
41,Chinese,Single,High School,France,Tourist,15,658,120417,15,5,1,0,0
